distance_km,hour,day_of_week,road_type,historical_speed,traffic_multiplier
13.81,23,2,0,42.83,1.1
5.36,16,5,1,54.02,1.43
15.51,9,4,0,47.85,1.5
11.74,23,1,0,60.58,1.08
10.23,12,1,0,75.76,1.11
19.01,5,0,1,65.45,1.37
1.86,9,0,1,61.5,1.9
5.61,18,0,1,31.31,2.22
1.97,14,1,0,72.11,1.16
10.67,4,5,0,67.5,1.11
17.85,8,3,1,58.97,2.35
6.01,10,4,1,73.11,1.5
2.44,13,3,0,75.13,1.0
1.87,14,1,0,42.09,1.04
13.9,5,2,1,41.67,1.33
14.96,21,3,1,35.96,1.43
16.93,3,1,1,28.31,1.17
14.3,7,5,1,52.16,1.27
14.71,1,0,1,79.0,1.37
13.61,11,4,0,26.14,1.0
2.63,16,5,1,26.66,1.33
5.78,17,1,1,31.87,2.08
19.23,13,6,1,68.82,1.28
7.67,20,3,0,49.51,1.11
2.96,22,5,0,21.19,1.0
6.0,19,0,0,66.46,1.0
10.9,20,0,0,39.34,1.0
16.84,1,0,0,25.62,1.17
7.66,5,3,1,31.94,1.41
1.82,5,4,1,25.24,1.45
10.92,9,6,1,38.18,1.97
13.29,12,0,0,37.86,1.16
4.72,8,1,1,20.03,1.9
12.46,14,2,0,36.72,1.0
19.51,14,0,0,29.21,1.15
9.14,10,5,0,79.0,1.1
18.91,23,3,1,49.89,1.44
6.83,22,2,1,73.47,1.55
15.39,13,2,1,72.31,1.37
4.32,16,1,0,70.15,1.11
11.25,23,0,1,76.23,1.29
16.97,22,2,1,57.62,1.29
7.61,1,2,0,61.81,1.0
4.8,0,2,1,33.58,1.25
10.55,19,0,0,75.1,1.02
15.09,10,5,0,43.82,1.15
10.46,12,6,0,23.04,1.0
5.1,2,4,0,22.42,1.18
19.11,13,2,1,75.69,1.35
18.45,18,5,1,32.79,2.12
13.18,9,2,1,44.82,2.23
9.65,20,4,0,21.18,1.01
17.33,2,2,1,75.57,1.31
7.38,20,5,1,71.38,1.51
11.9,7,1,0,47.17,1.12
18.36,1,4,0,28.89,1.0
1.73,11,5,0,53.15,1.03
4.62,3,3,1,42.02,1.41
7.74,17,4,1,54.76,2.08
12.84,7,4,1,68.56,1.27
19.38,0,5,1,49.21,1.38
17.22,0,0,1,70.79,1.41
5.62,1,0,1,31.01,1.37
8.11,3,2,1,23.05,1.36
7.52,11,0,1,38.73,1.44
19.95,22,3,0,76.62,1.06
15.22,20,4,1,51.42,1.48
12.45,14,1,1,27.51,1.24
10.52,4,6,0,48.86,1.07
17.11,11,4,1,79.12,1.3
10.85,19,0,1,54.07,1.54
8.92,18,5,0,22.63,1.46
17.89,10,1,1,56.96,1.27
16.32,6,0,1,64.26,1.47
2.47,3,0,1,78.38,1.28
16.86,19,1,1,40.4,1.26
11.59,10,3,0,79.36,1.05
17.04,8,2,0,47.63,1.84
13.0,15,2,1,21.86,1.35
15.66,17,2,0,43.6,1.49
5.45,14,5,1,28.31,1.37
2.27,4,1,1,42.59,1.58
10.85,6,1,1,52.54,1.53
4.99,0,0,0,26.56,1.05
13.29,6,2,1,28.38,1.4
4.88,0,0,1,60.5,1.21
8.35,8,2,0,27.74,1.63
17.07,6,6,1,44.41,1.31
13.24,15,4,0,28.44,1.0
4.6,0,0,1,42.66,1.26
11.48,8,3,1,45.41,1.9
12.3,5,4,0,45.85,1.0
9.48,19,3,1,74.88,1.2
5.08,5,4,0,62.0,1.03
3.48,23,0,1,34.41,1.45
1.8,11,2,1,55.39,1.53
7.41,21,4,1,37.98,1.3
12.28,12,5,0,50.83,1.01
12.45,3,0,1,67.47,1.31
15.01,13,1,1,27.91,1.24
14.86,9,5,1,72.05,2.21
15.74,13,5,0,66.14,1.11
11.57,7,0,0,67.49,1.0
2.61,21,1,1,48.03,1.39
17.19,16,4,0,32.43,1.01
17.78,20,3,1,37.15,1.44
3.58,4,1,1,74.31,1.22
4.48,11,6,0,55.35,1.07
8.92,22,6,1,21.04,1.35
4.13,3,2,1,23.19,1.24
19.9,11,3,1,34.46,1.19
10.77,20,6,0,26.51,1.0
1.12,8,3,1,64.75,1.97
19.17,21,6,0,63.26,1.0
16.72,15,0,1,77.91,1.47
8.37,9,3,1,74.58,2.09
18.51,20,3,0,73.77,1.18
2.07,3,0,0,55.85,1.04
19.34,20,4,1,39.69,1.27
2.01,2,6,1,34.05,1.47
17.39,10,6,1,41.22,1.45
11.39,2,4,1,36.07,1.51
5.53,4,6,1,75.26,1.23
17.27,15,3,0,53.03,1.0
13.47,18,1,1,22.99,2.02
13.56,23,4,0,32.76,1.18
2.11,6,1,0,65.92,1.0
8.39,1,6,0,54.91,1.13
17.13,10,5,0,23.15,1.15
2.08,12,2,0,21.71,1.0
3.54,5,3,0,36.34,1.16
1.39,7,6,1,48.47,1.49
18.98,4,2,0,65.07,1.0
17.4,22,6,0,75.83,1.13
14.13,6,2,1,44.43,1.3
7.8,21,4,0,34.73,1.03
13.95,15,0,1,77.36,1.42
9.04,5,0,0,61.26,1.0
9.27,5,1,1,38.04,1.4
11.05,13,0,1,29.9,1.37
15.45,17,5,1,45.7,2.06
11.17,23,3,0,52.68,1.07
5.48,11,3,1,68.55,1.54
17.01,15,5,0,26.42,1.18
18.56,19,4,0,49.87,1.1
14.31,1,0,1,74.29,1.44
10.43,23,0,1,23.05,1.33
16.49,23,6,0,75.55,1.0
9.82,18,6,1,52.6,2.17
4.6,9,1,1,41.31,2.16
10.21,7,6,0,59.25,1.17
11.95,11,6,0,62.93,1.09
10.96,23,4,0,74.8,1.11
18.24,16,0,1,32.21,1.51
16.15,13,5,0,32.39,1.07
8.95,1,0,1,66.16,1.56
11.56,5,3,0,23.94,1.17
14.96,9,5,0,26.8,1.86
16.35,22,1,1,45.87,1.35
19.12,17,5,1,40.6,2.0
10.84,0,3,0,47.13,1.01
14.96,18,2,0,34.91,1.66
18.47,17,1,1,40.92,2.24
6.13,13,2,0,62.95,1.0
15.19,3,3,0,69.47,1.07
1.14,7,3,1,20.47,1.37
19.34,11,3,0,35.84,1.1
6.23,0,5,0,77.98,1.05
18.93,9,0,1,47.55,2.0
2.36,15,4,0,20.5,1.0
1.39,0,0,1,27.99,1.51
4.3,19,0,1,45.89,1.44
5.94,9,3,0,75.28,1.81
4.44,11,2,0,77.1,1.0
9.89,7,1,1,75.72,1.26
11.72,11,6,0,28.1,1.1
19.7,13,3,1,27.94,1.49
13.11,9,0,0,33.23,1.71
8.56,13,3,1,53.02,1.18
2.3,3,1,0,65.99,1.0
15.81,2,3,0,58.66,1.18
7.89,17,1,0,64.75,1.85
14.98,4,6,0,75.35,1.1
8.97,6,6,0,67.45,1.08
7.29,5,1,0,35.18,1.0
18.5,19,5,1,73.08,1.41
11.18,10,2,1,32.25,1.43
3.37,11,5,1,65.84,1.35
17.72,3,3,1,64.07,1.4
7.42,2,0,1,32.16,1.45
2.35,8,2,0,59.0,1.67
16.36,11,5,0,31.01,1.0
16.87,23,6,1,36.27,1.48
2.26,6,2,1,77.09,1.5
8.82,16,2,0,26.87,1.14
13.44,5,5,1,59.17,1.37
5.61,16,2,0,71.14,1.05
9.19,10,4,0,37.71,1.13
7.87,8,1,1,48.01,1.89
18.28,17,0,1,26.5,2.2
15.14,10,4,1,59.27,1.38
15.91,2,2,1,60.44,1.16
12.77,23,1,0,48.62,1.18
14.85,3,6,1,35.9,1.46
12.74,4,2,1,21.0,1.23
15.71,16,1,0,70.84,1.15
19.4,7,6,0,49.73,1.18
8.51,18,0,1,49.52,1.99
12.5,10,3,0,40.96,1.05
17.61,15,1,0,73.89,1.0
17.45,4,5,0,54.22,1.03
1.17,9,2,1,43.64,1.99
9.07,14,1,1,22.77,1.56
12.42,2,1,0,31.03,1.15
1.28,22,6,1,30.89,1.29
16.12,7,0,1,60.5,1.48
10.2,15,2,1,31.62,1.34
13.85,14,1,0,67.66,1.18
18.63,4,6,0,70.3,1.03
17.63,7,0,1,73.09,1.21
12.09,21,5,1,61.93,1.51
12.25,11,4,0,22.3,1.0
15.29,7,3,0,26.0,1.0
7.51,17,0,1,46.67,1.97
17.59,21,5,1,75.45,1.25
2.0,1,3,0,70.54,1.0
10.38,3,2,1,34.03,1.37
12.96,23,1,0,45.23,1.08
13.05,2,6,0,23.78,1.0
15.36,8,0,1,56.62,1.82
13.88,18,2,0,49.41,1.76
1.74,22,5,1,31.81,1.38
19.54,9,2,0,26.12,1.83
16.41,23,2,0,42.94,1.0
18.13,0,1,1,72.53,1.25
12.24,21,1,1,46.93,1.34
7.25,1,0,1,57.92,1.23
17.05,20,6,0,41.67,1.0
12.53,16,6,0,61.96,1.02
3.12,5,2,1,52.14,1.25
17.77,23,1,1,43.19,1.5
19.64,10,4,1,63.62,1.48
10.54,7,3,1,77.82,1.45
11.05,17,4,1,57.18,2.1
14.62,0,2,1,38.51,1.42
3.53,4,0,0,79.98,1.0
9.61,18,4,1,54.61,2.11
3.81,5,6,1,42.65,1.46
2.5,16,3,1,68.59,1.21
1.42,5,2,0,27.93,1.03
9.85,5,1,1,51.73,1.43
17.47,13,1,1,27.36,1.4
4.33,17,2,1,62.66,1.99
9.7,13,4,0,38.95,1.05
13.06,23,3,0,25.02,1.14
14.25,10,1,1,55.76,1.34
18.17,1,1,1,36.34,1.29
17.84,1,0,1,37.26,1.31
10.57,5,0,1,31.43,1.21
17.84,20,2,0,46.16,1.02
3.94,10,0,1,26.04,1.27
15.68,4,2,1,74.42,1.44
14.46,9,0,0,53.14,1.87
15.44,3,6,1,35.14,1.19
3.74,16,1,1,29.21,1.31
12.1,10,6,1,41.68,1.32
13.98,3,6,1,45.98,1.46
12.34,15,6,1,60.25,1.22
15.21,14,1,0,44.9,1.11
7.83,8,6,1,31.0,2.13
8.7,6,5,0,51.63,1.15
2.7,11,4,1,24.99,1.2
6.76,5,2,1,63.89,1.31
5.69,17,0,1,73.91,2.0
5.0,15,3,1,76.56,1.23
10.15,8,3,1,51.02,2.04
14.82,7,3,0,59.94,1.17
5.84,23,2,1,49.06,1.25
11.12,0,3,0,63.73,1.19
11.47,10,4,1,26.41,1.37
3.22,16,0,0,42.52,1.17
6.21,5,5,0,35.89,1.01
1.56,22,2,1,22.03,1.28
14.89,14,0,0,48.66,1.13
3.86,23,0,1,28.58,1.24
7.33,19,5,0,29.47,1.04
1.85,17,2,0,28.57,1.81
1.52,16,3,1,69.58,1.17
7.87,13,3,1,36.8,1.18
10.82,17,2,0,46.09,1.46
17.12,21,2,0,41.26,1.0
17.96,18,6,1,51.84,1.85
19.47,5,0,1,49.01,1.34
2.74,15,6,1,67.68,1.44
19.32,7,2,0,72.94,1.07
1.76,13,1,1,20.25,1.55
17.87,2,1,1,34.42,1.55
8.21,23,3,0,40.45,1.0
17.85,1,2,0,22.82,1.05
15.19,5,6,1,31.32,1.29
7.46,23,6,1,44.53,1.32
16.69,21,3,1,32.88,1.45
5.92,8,0,0,21.77,1.81
12.63,5,4,0,40.88,1.12
15.0,8,5,1,28.75,2.06
1.73,10,6,0,75.59,1.02
9.39,14,3,0,49.98,1.18
2.22,20,4,1,53.65,1.42
7.71,6,6,1,57.56,1.4
11.33,23,2,0,61.13,1.1
8.14,22,6,0,61.65,1.18
18.08,1,0,1,35.87,1.21
3.25,4,1,1,49.11,1.36
17.65,0,5,0,24.26,1.0
13.79,2,5,1,54.6,1.26
12.65,15,1,0,21.34,1.16
8.57,19,0,0,79.35,1.19
11.23,1,5,0,56.29,1.0
15.7,19,0,1,32.96,1.45
17.02,0,2,1,33.79,1.41
16.74,17,3,1,22.33,1.85
13.11,19,1,1,27.09,1.41
5.88,5,1,0,57.73,1.09
16.37,21,0,1,54.34,1.26
10.19,8,2,1,41.07,1.99
9.13,19,1,0,69.46,1.12
14.65,21,1,1,31.39,1.45
7.0,19,4,1,54.59,1.55
2.8,8,3,0,50.41,1.51
13.65,12,5,0,22.63,1.09
1.65,11,1,0,20.75,1.03
6.11,5,3,0,45.51,1.1
12.09,6,4,1,77.69,1.44
10.28,19,1,0,41.51,1.16
4.22,17,2,1,72.25,2.1
5.16,10,0,0,52.35,1.07
2.57,13,5,0,57.65,1.1
4.9,19,1,0,71.24,1.08
1.07,23,4,1,42.94,1.23
19.93,2,2,0,62.38,1.13
14.39,6,5,0,49.28,1.17
15.28,0,4,1,53.51,1.26
4.2,12,3,0,72.88,1.08
6.49,6,5,1,47.85,1.3
11.45,20,2,0,32.33,1.11
16.97,3,4,0,52.58,1.0
11.84,2,5,1,60.14,1.36
12.73,3,0,1,73.91,1.54
18.34,3,4,0,73.56,1.01
17.12,0,5,1,55.94,1.43
2.98,8,5,1,58.84,1.86
17.38,6,0,1,63.54,1.37
1.29,16,1,0,64.14,1.18
18.0,2,4,0,23.38,1.16
5.44,9,3,0,54.66,1.63
6.44,11,5,1,70.4,1.15
3.72,14,3,0,41.44,1.1
12.07,5,0,1,41.11,1.39
17.1,17,2,1,47.43,1.94
3.69,5,6,1,59.6,1.42
3.7,15,0,1,72.34,1.32
11.39,19,3,1,21.13,1.25
11.85,0,1,0,36.63,1.12
19.22,4,2,1,24.14,1.35
7.95,17,1,1,72.4,1.99
11.57,8,3,1,34.27,2.03
16.79,8,1,0,56.22,1.9
9.41,9,6,1,44.19,1.83
18.86,20,3,1,31.37,1.37
7.92,7,5,0,24.5,1.08
12.56,10,0,1,31.09,1.19
7.79,6,2,0,67.71,1.13
5.93,17,2,0,58.55,1.75
2.02,1,6,0,45.81,1.0
12.73,10,1,1,67.9,1.23
3.96,6,1,1,41.57,1.24
18.81,8,0,0,62.51,1.9
18.48,14,6,1,28.06,1.47
13.11,21,1,0,62.23,1.07
1.93,10,0,0,76.61,1.09
7.62,21,1,1,70.04,1.28
1.63,22,5,1,20.48,1.5
19.45,17,0,0,75.53,1.51
13.98,23,1,1,36.0,1.43
9.4,8,5,0,31.46,1.59
13.17,1,3,0,72.62,1.03
8.88,9,0,0,58.01,1.69
8.07,8,3,1,55.68,2.0
14.04,17,0,0,56.42,1.92
4.12,17,4,0,30.5,1.79
17.01,15,6,1,77.73,1.35
3.6,10,2,0,20.41,1.0
6.14,20,6,1,58.08,1.21
14.43,19,5,0,56.89,1.16
6.9,4,5,1,58.74,1.29
9.35,12,5,0,38.16,1.04
4.14,23,6,0,44.91,1.0
1.0,11,5,1,38.18,1.27
14.01,17,4,1,53.53,1.94
6.29,10,3,1,72.89,1.32
15.05,8,4,1,33.69,2.18
17.46,22,4,0,25.86,1.14
16.4,6,5,0,71.67,1.01
6.57,16,1,0,21.63,1.09
8.44,17,2,1,26.57,2.23
18.01,19,0,1,64.12,1.44
5.84,8,0,0,28.97,1.47
3.45,0,1,0,62.79,1.2
11.99,2,0,1,75.71,1.43
10.55,15,6,1,68.48,1.18
8.44,9,1,1,34.46,1.93
2.89,9,5,1,23.62,2.01
9.22,23,3,1,40.46,1.48
5.34,22,2,1,68.0,1.44
6.13,1,1,0,40.04,1.0
14.93,23,6,0,47.74,1.0
4.52,15,5,0,27.85,1.15
11.36,20,0,1,27.36,1.21
9.07,16,5,0,31.02,1.01
7.36,20,5,0,25.15,1.18
5.97,0,0,0,56.43,1.01
19.41,5,2,0,54.19,1.06
8.32,10,4,0,62.7,1.12
11.92,7,2,0,72.88,1.0
17.33,7,3,1,62.18,1.41
11.93,15,1,1,72.63,1.33
8.45,10,3,0,76.63,1.07
17.94,13,1,1,39.53,1.31
2.42,19,3,0,59.77,1.0
8.42,11,2,1,54.88,1.51
10.63,15,5,1,77.41,1.38
1.25,14,3,0,62.48,1.05
17.85,5,4,1,76.45,1.44
8.69,2,3,1,44.68,1.38
4.71,8,6,1,37.13,2.03
17.14,19,2,1,45.64,1.23
11.42,10,0,1,24.77,1.43
12.49,17,4,1,77.59,1.99
8.55,1,5,1,34.31,1.38
2.78,16,4,0,61.33,1.0
3.95,19,6,0,33.84,1.0
19.61,16,3,1,68.73,1.29
3.26,19,0,1,41.49,1.37
17.48,22,2,1,44.73,1.29
7.67,15,4,1,42.38,1.2
6.48,19,5,0,25.37,1.0
14.17,10,2,1,66.69,1.28
6.9,10,0,0,58.6,1.01
16.93,2,3,1,76.48,1.34
19.81,13,2,0,43.65,1.02
12.71,23,1,1,64.02,1.24
2.5,23,5,0,50.02,1.05
16.29,1,2,0,68.24,1.0
14.42,18,5,0,37.49,1.77
17.02,6,4,0,72.27,1.0
17.08,20,5,1,55.66,1.27
14.82,1,0,1,43.35,1.27
1.46,7,2,1,57.43,1.4
4.25,15,4,1,48.23,1.46
12.85,20,4,1,23.08,1.4
8.68,16,2,1,41.77,1.33
7.18,0,0,0,77.74,1.14
12.63,11,4,0,72.17,1.01
16.66,19,5,1,50.69,1.53
5.18,1,5,1,29.98,1.55
11.23,2,5,1,57.56,1.28
10.19,0,1,1,25.71,1.54
9.29,8,4,1,23.37,1.96
1.74,7,5,0,58.0,1.0
2.61,19,3,1,72.19,1.31
10.82,18,6,0,25.68,1.54
7.45,15,1,0,63.25,1.06
11.81,6,5,0,48.44,1.0
8.4,19,1,1,32.39,1.22
4.76,20,5,1,56.39,1.31
11.94,1,4,0,66.41,1.0
9.31,8,1,0,68.55,1.57
6.59,12,2,0,36.76,1.06
8.11,17,0,0,26.3,1.61
4.68,8,3,1,59.9,1.96
13.9,9,1,0,62.7,1.46
14.61,15,4,0,41.53,1.1
8.86,4,1,0,44.58,1.15
10.55,7,5,0,74.4,1.0
3.2,5,3,0,34.52,1.12
18.51,6,3,1,54.33,1.28
10.51,8,6,0,59.91,1.72
9.59,17,3,1,24.17,1.94
2.1,8,4,0,53.7,1.57
8.83,1,0,0,32.07,1.11
14.88,3,2,1,52.78,1.14
7.7,0,4,1,62.16,1.37
18.45,6,2,1,28.29,1.23
16.15,1,4,0,59.59,1.17
13.24,15,5,0,20.8,1.01
16.83,6,2,0,57.88,1.0
3.2,23,2,0,68.8,1.05
16.51,1,5,1,67.13,1.21
15.71,1,2,0,55.69,1.0
8.28,5,4,0,40.98,1.13
15.98,12,0,1,73.21,1.17
10.54,17,0,1,43.79,1.93
15.09,6,1,1,66.11,1.32
12.67,4,0,1,78.73,1.36
19.77,18,5,0,23.35,1.54
6.45,7,1,1,69.94,1.44
1.34,3,3,1,75.29,1.53
4.11,13,4,1,42.07,1.31
5.33,20,6,1,22.88,1.18
14.69,21,0,1,71.41,1.46
9.19,13,1,1,53.76,1.35
7.39,22,1,1,63.83,1.44
4.54,4,5,1,28.91,1.24
16.02,4,2,0,59.79,1.03
3.97,11,2,0,52.61,1.0
12.28,22,5,1,72.61,1.22
9.24,8,4,1,46.95,1.97
17.43,18,1,1,67.59,1.91
7.28,6,3,0,42.15,1.13
3.48,8,2,0,62.26,1.58
1.54,5,3,0,57.99,1.01
6.68,6,6,0,51.44,1.17
5.54,0,3,0,33.56,1.07
11.66,14,0,0,50.18,1.19
19.22,5,3,0,73.57,1.04
16.55,16,5,0,66.99,1.19
13.09,19,6,1,23.53,1.21
10.87,19,1,1,75.56,1.24
18.47,22,6,0,50.64,1.0
8.94,2,3,0,32.42,1.12
17.0,10,6,1,62.27,1.32
18.58,0,1,1,29.16,1.51
10.9,13,6,1,48.18,1.52
1.71,20,4,1,45.5,1.53
16.82,10,1,0,71.75,1.0
1.66,3,0,0,34.78,1.0
14.49,21,1,0,74.0,1.0
18.65,6,5,0,55.34,1.12
10.45,23,3,1,52.26,1.19
3.82,5,0,1,76.94,1.46
11.71,5,3,1,60.24,1.47
9.66,19,1,1,78.12,1.32
3.52,17,4,1,34.92,2.02
2.08,4,4,0,78.58,1.16
14.14,9,1,1,51.15,1.86
1.81,11,2,0,66.2,1.18
13.52,0,4,1,42.99,1.4
18.27,21,0,1,58.96,1.34
11.15,7,3,1,67.3,1.27
14.46,20,1,1,42.09,1.35
1.14,10,2,1,66.48,1.42
16.01,1,2,1,55.12,1.5
8.32,22,2,1,36.29,1.55
15.89,11,5,0,60.41,1.12
15.35,5,1,1,41.85,1.38
19.6,7,4,0,43.1,1.0
4.32,5,2,1,69.52,1.39
9.96,9,2,1,31.92,1.99
15.59,19,1,1,34.07,1.22
