origin_lat,origin_lng,dest_lat,dest_lng,origin_city,dest_city,distance_km,free_flow_time_seconds,traffic_time_seconds,multiplier,hour,day_of_week,is_weekend,is_peak_hour,traffic_model,cluster_type,timestamp
12.7094,80.0016,12.8342,79.7036,"Chengalpattu","Kanchipuram",52.742,5122,5071,0.99,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.7094,80.0016,12.9267,79.3333,"Chengalpattu","Ranipet",103.019,7749,7233,0.933,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.7094,80.0016,12.6833,79.9833,"Chengalpattu","Chengalpattu",7.764,1306,1256,0.962,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.7094,80.0016,12.8441,80.0592,"Chengalpattu","Chengalpattu",22.85,2445,2382,0.974,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.7094,80.0016,13.1433,79.91,"Chengalpattu","Thiruvallur",61.446,6342,5997,0.946,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.7094,80.0016,12.9667,79.95,"Chengalpattu","Kanchipuram",40.859,3942,3661,0.929,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.7094,80.0016,10.8833,79.6167,"Chengalpattu","Tiruvarur",253.872,17817,18073,1.014,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.802,80.021,13.0833,79.6667,"Chengalpattu","Ranipet",77.731,6235,6032,0.967,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.802,80.021,12.7094,80.0016,"Chengalpattu","Chengalpattu",16.601,1913,2003,1.047,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.802,80.021,12.8342,79.7036,"Chengalpattu","Kanchipuram",50.398,4215,4052,0.961,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.802,80.021,12.9267,79.3333,"Chengalpattu","Ranipet",95.261,6501,6032,0.928,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.802,80.021,12.6833,79.9833,"Chengalpattu","Chengalpattu",14.692,1477,1838,1.244,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.802,80.021,12.8441,80.0592,"Chengalpattu","Chengalpattu",6.251,529,502,0.949,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.802,80.021,13.1433,79.91,"Chengalpattu","Thiruvallur",56.937,4938,4758,0.964,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.802,80.021,12.9667,79.95,"Chengalpattu","Kanchipuram",33.102,2694,2450,0.909,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.802,80.021,10.8833,79.6167,"Chengalpattu","Tiruvarur",260.395,17554,17977,1.024,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8342,79.7036,13.0833,79.6667,"Kanchipuram","Ranipet",29.811,2809,3122,1.111,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8342,79.7036,12.7094,80.0016,"Kanchipuram","Chengalpattu",45.553,4885,5123,1.049,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8342,79.7036,12.802,80.021,"Kanchipuram","Chengalpattu",45.983,4249,3970,0.934,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8342,79.7036,12.9267,79.3333,"Kanchipuram","Ranipet",45.248,3159,3139,0.994,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8342,79.7036,12.6833,79.9833,"Kanchipuram","Chengalpattu",38.328,3747,3957,1.056,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8342,79.7036,12.8441,80.0592,"Kanchipuram","Chengalpattu",47.26,4568,4516,0.989,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8342,79.7036,13.1433,79.91,"Kanchipuram","Thiruvallur",55.465,5824,5323,0.914,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8342,79.7036,12.9667,79.95,"Kanchipuram","Kanchipuram",34.878,3424,2968,0.867,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8342,79.7036,10.8833,79.6167,"Kanchipuram","Tiruvarur",263.223,19085,18967,0.994,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9267,79.3333,13.0833,79.6667,"Ranipet","Ranipet",67.679,4633,4502,0.972,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9267,79.3333,12.7094,80.0016,"Ranipet","Chengalpattu",94.332,7765,7537,0.971,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9267,79.3333,12.802,80.021,"Ranipet","Chengalpattu",90.692,6991,6197,0.886,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9267,79.3333,12.8342,79.7036,"Ranipet","Kanchipuram",49.277,3302,3048,0.923,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9267,79.3333,12.6833,79.9833,"Ranipet","Chengalpattu",87.107,6627,6387,0.964,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9267,79.3333,12.8441,80.0592,"Ranipet","Chengalpattu",98.168,7455,6548,0.878,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9267,79.3333,13.1433,79.91,"Ranipet","Thiruvallur",94.315,7665,6826,0.891,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9267,79.3333,12.9667,79.95,"Ranipet","Kanchipuram",73.728,5265,4522,0.859,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9267,79.3333,10.8833,79.6167,"Ranipet","Tiruvarur",284.644,20485,20150,0.984,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.6833,79.9833,13.0833,79.6667,"Chengalpattu","Ranipet",72.854,6406,6416,1.002,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.6833,79.9833,12.7094,80.0016,"Chengalpattu","Chengalpattu",7.279,1171,1187,1.014,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.6833,79.9833,12.802,80.021,"Chengalpattu","Chengalpattu",14.678,1550,1627,1.05,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.6833,79.9833,12.8342,79.7036,"Chengalpattu","Kanchipuram",40.568,3879,3973,1.024,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.6833,79.9833,12.9267,79.3333,"Chengalpattu","Ranipet",87.144,6628,6413,0.968,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.6833,79.9833,12.8441,80.0592,"Chengalpattu","Chengalpattu",20.944,2030,2090,1.03,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.6833,79.9833,13.1433,79.91,"Chengalpattu","Thiruvallur",59.539,5927,5711,0.964,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.6833,79.9833,12.9667,79.95,"Chengalpattu","Kanchipuram",38.952,3527,3364,0.954,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.6833,79.9833,10.8833,79.6167,"Chengalpattu","Tiruvarur",246.354,16618,16983,1.022,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8441,80.0592,13.0833,79.6667,"Chengalpattu","Ranipet",86.212,6584,6412,0.974,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8441,80.0592,12.7094,80.0016,"Chengalpattu","Chengalpattu",24.722,2642,2725,1.031,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8441,80.0592,12.802,80.021,"Chengalpattu","Chengalpattu",8.897,883,860,0.974,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8441,80.0592,12.8342,79.7036,"Chengalpattu","Kanchipuram",55.082,4795,4526,0.944,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8441,80.0592,12.9267,79.3333,"Chengalpattu","Ranipet",97.438,7122,6329,0.889,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8441,80.0592,12.6833,79.9833,"Chengalpattu","Chengalpattu",22.812,2207,2568,1.164,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8441,80.0592,13.1433,79.91,"Chengalpattu","Thiruvallur",50.771,4462,4310,0.966,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8441,80.0592,12.9667,79.95,"Chengalpattu","Kanchipuram",29.124,2799,2576,0.92,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8441,80.0592,10.8833,79.6167,"Chengalpattu","Tiruvarur",268.529,18309,18685,1.021,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
13.1433,79.91,13.0833,79.6667,"Thiruvallur","Ranipet",33.624,3070,3291,1.072,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
13.1433,79.91,12.7094,80.0016,"Thiruvallur","Chengalpattu",59.979,6229,6063,0.973,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
13.1433,79.91,12.802,80.021,"Thiruvallur","Chengalpattu",47.498,4979,4800,0.964,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
13.1433,79.91,12.8342,79.7036,"Thiruvallur","Kanchipuram",53.931,5664,5372,0.948,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
13.1433,79.91,12.9267,79.3333,"Thiruvallur","Ranipet",83.172,7357,7163,0.974,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
13.1433,79.91,12.6833,79.9833,"Thiruvallur","Chengalpattu",58.07,5793,5882,1.015,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
13.1433,79.91,12.8441,80.0592,"Thiruvallur","Chengalpattu",49.673,4561,4419,0.969,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
13.1433,79.91,12.9667,79.95,"Thiruvallur","Kanchipuram",21.86,2740,2833,1.034,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
13.1433,79.91,10.8833,79.6167,"Thiruvallur","Tiruvarur",303.773,21869,21566,0.986,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9667,79.95,13.0833,79.6667,"Kanchipuram","Ranipet",44.352,4613,4525,0.981,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9667,79.95,12.7094,80.0016,"Kanchipuram","Chengalpattu",39.239,3794,3561,0.939,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9667,79.95,12.802,80.021,"Kanchipuram","Chengalpattu",31.098,2558,2266,0.886,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9667,79.95,12.8342,79.7036,"Kanchipuram","Kanchipuram",33.19,3229,2881,0.892,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9667,79.95,12.9267,79.3333,"Kanchipuram","Ranipet",74.066,5186,4593,0.886,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9667,79.95,12.6833,79.9833,"Kanchipuram","Chengalpattu",37.329,3358,3405,1.014,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9667,79.95,12.8441,80.0592,"Kanchipuram","Chengalpattu",28.075,2841,2673,0.941,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9667,79.95,13.1433,79.91,"Kanchipuram","Thiruvallur",21.722,2719,2714,0.998,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9667,79.95,10.8833,79.6167,"Kanchipuram","Tiruvarur",283.032,19434,19489,1.003,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
10.8833,79.6167,13.0833,79.6667,"Tiruvarur","Ranipet",296.174,21296,21161,0.994,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
10.8833,79.6167,12.7094,80.0016,"Tiruvarur","Chengalpattu",253.635,17580,17967,1.022,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
10.8833,79.6167,12.802,80.021,"Tiruvarur","Chengalpattu",260.503,17333,17827,1.029,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
10.8833,79.6167,12.8342,79.7036,"Tiruvarur","Kanchipuram",261.809,18851,18724,0.993,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
10.8833,79.6167,12.9267,79.3333,"Tiruvarur","Ranipet",283.75,19957,19572,0.981,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
10.8833,79.6167,12.6833,79.9833,"Tiruvarur","Chengalpattu",246.521,16499,16876,1.023,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
10.8833,79.6167,12.8441,80.0592,"Tiruvarur","Chengalpattu",266.768,17813,18326,1.029,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
10.8833,79.6167,13.1433,79.91,"Tiruvarur","Thiruvallur",305.364,21710,22088,1.017,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
10.8833,79.6167,12.9667,79.95,"Tiruvarur","Kanchipuram",284.777,19310,19643,1.017,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
13.0833,79.6667,9.7333,77.2833,"Ranipet","Theni",526.494,33461,33589,1.004,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
13.0833,79.6667,11.9333,79.4833,"Ranipet","Villupuram",151.688,11481,11230,0.978,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
13.0833,79.6667,11.1167,77.1833,"Ranipet","Coimbatore",453.323,27031,26617,0.985,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
13.0833,79.6667,11.7667,79.55,"Ranipet","Cuddalore",166.484,12936,12738,0.985,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
13.0833,79.6667,13.0067,80.2206,"Ranipet","Chennai",81.641,7733,7294,0.943,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
13.0833,79.6667,9.1667,77.5333,"Ranipet","Tenkasi",586.301,36848,36274,0.984,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
13.0833,79.6667,11.076,77.0003,"Ranipet","Coimbatore",480.521,29519,29267,0.991,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
13.0833,79.6667,11.3003,76.9407,"Ranipet","Coimbatore",442.262,30186,30034,0.995,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
13.0833,79.6667,9.51,78.1,"Ranipet","Virudhunagar",493.586,30498,29954,0.982,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
13.0833,79.6667,12.6833,78.6167,"Ranipet","Tirupathur",157.174,10066,9491,0.943,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.7094,80.0016,9.7333,77.2833,"Chengalpattu","Theni",490.46,30105,30512,1.014,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.7094,80.0016,11.9333,79.4833,"Chengalpattu","Villupuram",115.654,8125,8205,1.01,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.7094,80.0016,11.1167,77.1833,"Chengalpattu","Coimbatore",426.163,25578,25577,1,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.7094,80.0016,11.7667,79.55,"Chengalpattu","Cuddalore",130.45,9580,9726,1.015,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.7094,80.0016,13.0067,80.2206,"Chengalpattu","Chennai",51.561,5579,5502,0.986,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.7094,80.0016,9.1667,77.5333,"Chengalpattu","Tenkasi",550.267,33492,33301,0.994,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.7094,80.0016,11.076,77.0003,"Chengalpattu","Coimbatore",453.362,28066,28241,1.006,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.7094,80.0016,11.3003,76.9407,"Chengalpattu","Coimbatore",452.076,28578,28833,1.009,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.7094,80.0016,9.51,78.1,"Chengalpattu","Virudhunagar",457.552,27142,26742,0.985,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.7094,80.0016,12.6833,78.6167,"Chengalpattu","Tirupathur",192.392,13162,12143,0.923,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.802,80.021,9.7333,77.2833,"Chengalpattu","Theni",496.982,29842,30423,1.019,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.802,80.021,11.9333,79.4833,"Chengalpattu","Villupuram",122.177,7862,8104,1.031,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.802,80.021,11.1167,77.1833,"Chengalpattu","Coimbatore",432.686,25315,25501,1.007,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.802,80.021,11.7667,79.55,"Chengalpattu","Cuddalore",136.972,9317,9635,1.034,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.802,80.021,13.0067,80.2206,"Chengalpattu","Chennai",34.962,3664,3622,0.989,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.802,80.021,9.1667,77.5333,"Chengalpattu","Tenkasi",556.79,33229,33215,1,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.802,80.021,11.076,77.0003,"Chengalpattu","Coimbatore",459.884,27803,28169,1.013,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.802,80.021,11.3003,76.9407,"Chengalpattu","Coimbatore",458.599,28315,28762,1.016,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.802,80.021,9.51,78.1,"Chengalpattu","Virudhunagar",464.075,26879,26660,0.992,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.802,80.021,12.6833,78.6167,"Chengalpattu","Tirupathur",184.635,11913,10897,0.915,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8342,79.7036,9.7333,77.2833,"Kanchipuram","Theni",492.358,31039,31134,1.003,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8342,79.7036,11.9333,79.4833,"Kanchipuram","Villupuram",117.553,9058,8784,0.97,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8342,79.7036,11.1167,77.1833,"Kanchipuram","Coimbatore",430.771,25536,24962,0.978,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8342,79.7036,11.7667,79.55,"Kanchipuram","Cuddalore",132.348,10513,10279,0.978,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8342,79.7036,13.0067,80.2206,"Kanchipuram","Chennai",70.231,6752,6345,0.94,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8342,79.7036,9.1667,77.5333,"Kanchipuram","Tenkasi",552.165,34426,33938,0.986,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8342,79.7036,11.076,77.0003,"Kanchipuram","Coimbatore",457.969,28024,27656,0.987,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8342,79.7036,11.3003,76.9407,"Kanchipuram","Coimbatore",419.71,28691,28376,0.989,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8342,79.7036,9.51,78.1,"Kanchipuram","Virudhunagar",459.451,28075,27369,0.975,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8342,79.7036,12.6833,78.6167,"Kanchipuram","Tirupathur",134.622,8571,7904,0.922,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9267,79.3333,9.7333,77.2833,"Ranipet","Theni",497.961,31548,31887,1.011,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9267,79.3333,11.9333,79.4833,"Ranipet","Villupuram",123.156,9568,9592,1.003,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9267,79.3333,11.1167,77.1833,"Ranipet","Coimbatore",387.935,22942,22020,0.96,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9267,79.3333,11.7667,79.55,"Ranipet","Cuddalore",153.769,11913,11519,0.967,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9267,79.3333,13.0067,80.2206,"Ranipet","Chennai",111.567,9392,8122,0.865,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9267,79.3333,9.1667,77.5333,"Ranipet","Tenkasi",557.769,34935,34636,0.991,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9267,79.3333,11.076,77.0003,"Ranipet","Coimbatore",415.133,25430,24729,0.972,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9267,79.3333,11.3003,76.9407,"Ranipet","Coimbatore",413.848,25942,25327,0.976,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9267,79.3333,9.51,78.1,"Ranipet","Virudhunagar",465.054,28585,28174,0.986,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.9267,79.3333,12.6833,78.6167,"Ranipet","Tirupathur",91.786,5977,5433,0.909,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.6833,79.9833,9.7333,77.2833,"Chengalpattu","Theni",482.941,28907,29365,1.016,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.6833,79.9833,11.9333,79.4833,"Chengalpattu","Villupuram",108.136,6926,7153,1.033,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.6833,79.9833,11.1167,77.1833,"Chengalpattu","Coimbatore",418.645,24380,24407,1.001,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.6833,79.9833,11.7667,79.55,"Chengalpattu","Cuddalore",122.932,8382,8600,1.026,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.6833,79.9833,13.0067,80.2206,"Chengalpattu","Chennai",49.654,5164,5216,1.01,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.6833,79.9833,9.1667,77.5333,"Chengalpattu","Tenkasi",542.749,32294,32027,0.992,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.6833,79.9833,11.076,77.0003,"Chengalpattu","Coimbatore",445.843,26867,27140,1.01,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.6833,79.9833,11.3003,76.9407,"Chengalpattu","Coimbatore",444.558,27380,27735,1.013,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.6833,79.9833,9.51,78.1,"Chengalpattu","Virudhunagar",450.034,25944,25545,0.985,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.6833,79.9833,12.6833,78.6167,"Chengalpattu","Tirupathur",176.517,12040,11277,0.937,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8441,80.0592,9.7333,77.2833,"Chengalpattu","Theni",505.116,30597,31111,1.017,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8441,80.0592,11.9333,79.4833,"Chengalpattu","Villupuram",130.311,8617,8799,1.021,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
12.8441,80.0592,11.1167,77.1833,"Chengalpattu","Coimbatore",440.82,26070,26206,1.005,12,0,1,0,best_guess,"Chennai Suburbs",2026-03-01T06:48:10.854Z
